,Arquivo,Número de variáveis,Quantidade de produtos,Algoritmo,Tempo de execução,É ótimo,Melhor Valor,Elementos melhor valor,BitMask melhor valor,Lower bound residual
124,instancias/bqp500-1.txt,500,12871,Brute force,60.0013542175293,False,-2964.0,"[500, 499, 497, 495, 493, 492, 491, 490, 489, 488, 486]",0b11010101111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1491.0
125,instancias/bqp500-1.txt,500,12871,B&B FIFO,60.00119066238403,False,inf,[],,-660692.0
126,instancias/bqp500-1.txt,500,12871,B&B LIFO,60.000624656677246,False,-8049.0,"[500, 499, 497, 495, 493, 492, 491, 490, 489, 488, 486, 485, 483, 482, 481, 480, 479, 478, 477, 475, 473, 471, 468]",0b11010101111110110111111101010100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-7360.0
127,instancias/bqp500-1.txt,500,12871,B&B LC,60.00334715843201,False,inf,[],,-662397.0
128,instancias/bqp500-3.txt,500,13021,Brute force,60.0004186630249,False,-1666.0,"[500, 499, 493, 492, 490, 489, 486]",0b11000001101100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1336.0
129,instancias/bqp500-3.txt,500,13021,B&B FIFO,60.001052141189575,False,inf,[],,-668723.0
130,instancias/bqp500-3.txt,500,13021,B&B LIFO,60.000683069229126,False,-2756.0,"[500, 493, 492, 490, 489, 484, 481, 474, 472, 470, 465]",0b10000001101100001001000000101010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2580.0
131,instancias/bqp500-3.txt,500,13021,B&B LC,60.00361680984497,False,inf,[],,-670273.0
132,instancias/bqp500-4.txt,500,12779,Brute force,60.00098657608032,False,-2061.0,"[500, 499, 498, 496, 494, 493, 488, 487]",0b11101011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1008.0
133,instancias/bqp500-4.txt,500,12779,B&B FIFO,60.00454378128052,False,inf,[],,-652728.0
134,instancias/bqp500-4.txt,500,12779,B&B LIFO,60.00051689147949,False,-4414.0,"[500, 498, 494, 493, 487, 480, 479, 478, 477, 474, 473, 472, 466]",0b10100011000001000000111100111000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-4684.0
135,instancias/bqp500-4.txt,500,12779,B&B LC,60.006067752838135,False,inf,[],,-655202.0
136,instancias/bqp100-4.txt,100,575,Brute force,60.000059366226196,False,-1516.0,"[99, 98, 95, 94, 93, 91, 90, 87, 86, 85, 84, 82]",0b110011101100111101000000000000000000000000000000000000000000000000000000000000000000000000000000000,-548.0
137,instancias/bqp100-4.txt,100,575,B&B FIFO,60.00019097328186,False,inf,[],,-20708.0
138,instancias/bqp100-4.txt,100,575,B&B LIFO,60.00008463859558,False,-2632.0,"[99, 98, 95, 93, 91, 90, 89, 87, 82, 78, 77, 75, 73, 71, 70, 68, 67, 66]",0b110010101110100001000110101011011100000000000000000000000000000000000000000000000000000000000000000,-2369.0
139,instancias/bqp100-4.txt,100,575,B&B LC,60.00004458427429,False,inf,[],,-20900.0
140,instancias/nl01-41.txt,30,359,Brute force,60.00002336502075,False,-62.0,"[26, 20]",0b10000010000000000000000000,1089.0
141,instancias/nl01-41.txt,30,359,B&B FIFO,60.00004482269287,False,inf,[],,775.0
142,instancias/nl01-41.txt,30,359,B&B LIFO,1.8889517784118652,True,-62.0,"[26, 20]",0b10000010000000000000000000,-57.0
143,instancias/nl01-41.txt,30,359,B&B LC,1.9526360034942627,True,-62.0,"[11, 9]",0b10100000000,-62.0
144,instancias/bqp50-2.txt,50,169,Brute force,60.0000376701355,False,-1044.0,"[50, 49, 48, 47, 46, 45, 44, 41, 40, 38, 36, 34, 33, 30]",0b11111110011010101100100000000000000000000000000000,-256.0
145,instancias/bqp50-2.txt,50,169,B&B FIFO,60.00003147125244,False,inf,[],,-3625.0
146,instancias/bqp50-2.txt,50,169,B&B LIFO,60.0000274181366,False,-1337.0,"[48, 47, 46, 45, 44, 39, 37, 35, 30, 24, 21, 19]",0b111110000101010000100000100101000000000000000000,-1236.0
147,instancias/bqp50-2.txt,50,169,B&B LC,60.00003361701965,False,inf,[],,-3930.0
148,instancias/bqp50-6.txt,50,148,Brute force,60.00002360343933,False,-680.0,"[49, 45, 42, 38, 37, 36, 35, 34, 32, 31, 30]",0b1000100100011111011100000000000000000000000000000,215.0
149,instancias/bqp50-6.txt,50,148,B&B FIFO,60.000035524368286,False,inf,[],,-3647.0
150,instancias/bqp50-6.txt,50,148,B&B LIFO,60.00003385543823,False,-1075.0,"[47, 42, 38, 37, 34, 31, 27, 24, 23, 19, 15, 14]",0b10000100011001001000100110001000110000000000000,-1236.0
151,instancias/bqp50-6.txt,50,148,B&B LC,60.00005388259888,False,inf,[],,-3784.0
152,instancias/bqp100-6.txt,100,610,Brute force,60.00002980232239,False,-1243.0,"[100, 99, 95, 94, 93, 92, 90, 89, 87, 86]",0b1100011110110110000000000000000000000000000000000000000000000000000000000000000000000000000000000000,57.0
153,instancias/bqp100-6.txt,100,610,B&B FIFO,60.00012707710266,False,inf,[],,-21951.0
154,instancias/bqp100-6.txt,100,610,B&B LIFO,60.000059604644775,False,-1281.0,"[100, 99, 95, 94, 93, 90, 89, 87, 86, 79]",0b1100011100110110000001000000000000000000000000000000000000000000000000000000000000000000000000000000,-954.0
155,instancias/bqp100-6.txt,100,610,B&B LC,60.00017786026001,False,inf,[],,-22596.0
156,instancias/bqp100-1.txt,100,563,Brute force,60.00005269050598,False,-1531.0,"[99, 98, 97, 96, 95, 94, 92, 91, 90, 89, 88, 87, 86, 81]",0b111111011111110000100000000000000000000000000000000000000000000000000000000000000000000000000000000,-415.0
157,instancias/bqp100-1.txt,100,563,B&B FIFO,60.000064849853516,False,inf,[],,-19781.0
158,instancias/bqp100-1.txt,100,563,B&B LIFO,60.00007677078247,False,-2846.0,"[100, 98, 97, 95, 94, 91, 90, 89, 88, 87, 86, 84, 82, 81, 80, 78, 77, 74, 73, 72, 70]",0b1011011001111110101110110011101000000000000000000000000000000000000000000000000000000000000000000000,-2775.0
159,instancias/bqp100-1.txt,100,563,B&B LC,60.000179290771484,False,inf,[],,-20223.0
160,instancias/bqp100-8.txt,100,591,Brute force,60.000038146972656,False,-1280.0,"[100, 93, 92, 88, 87, 86, 85, 84, 83, 82]",0b1000000110001111111000000000000000000000000000000000000000000000000000000000000000000000000000000000,-102.0
161,instancias/bqp100-8.txt,100,591,B&B FIFO,60.00008845329285,False,inf,[],,-24821.0
162,instancias/bqp100-8.txt,100,591,B&B LIFO,60.000120878219604,False,-3052.0,"[100, 92, 90, 88, 87, 86, 85, 84, 83, 82, 79, 77, 74, 71, 70, 69, 68, 67, 66]",0b1000000010101111111001010010011111100000000000000000000000000000000000000000000000000000000000000000,-2967.0
163,instancias/bqp100-8.txt,100,591,B&B LC,60.00006127357483,False,inf,[],,-24523.0
164,instancias/bqp500-6.txt,500,12816,Brute force,60.001535415649414,False,-752.0,"[498, 495, 493, 489]",0b100101000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1620.0
165,instancias/bqp500-6.txt,500,12816,B&B FIFO,60.011138916015625,False,inf,[],,-666239.0
166,instancias/bqp500-6.txt,500,12816,B&B LIFO,60.00078463554382,False,-3365.0,"[498, 495, 493, 489, 486, 485, 483, 482, 477, 472, 471, 469]",0b100101000100110110000100001101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-3527.0
167,instancias/bqp500-6.txt,500,12816,B&B LC,60.00724244117737,False,inf,[],,-668010.0
168,instancias/bqp100-5.txt,100,558,Brute force,60.000083684921265,False,-1185.0,"[99, 98, 97, 96, 95, 90, 87, 86, 84]",0b111110000100110100000000000000000000000000000000000000000000000000000000000000000000000000000000000,-80.0
169,instancias/bqp100-5.txt,100,558,B&B FIFO,60.00022506713867,False,inf,[],,-21450.0
170,instancias/bqp100-5.txt,100,558,B&B LIFO,60.000125885009766,False,-2754.0,"[98, 97, 96, 95, 92, 90, 87, 86, 84, 81, 79, 77, 75, 71, 69, 65, 62]",0b11110010100110100101010100010100010010000000000000000000000000000000000000000000000000000000000000,-2838.0
171,instancias/bqp100-5.txt,100,558,B&B LC,60.000211238861084,False,inf,[],,-20486.0
172,instancias/nl01-40.txt,30,346,Brute force,60.000054121017456,False,-62.0,"[26, 20]",0b10000010000000000000000000,1959.0
173,instancias/nl01-40.txt,30,346,B&B FIFO,60.000065326690674,False,inf,[],,1370.0
174,instancias/nl01-40.txt,30,346,B&B LIFO,2.8738250732421875,True,-62.0,"[26, 20]",0b10000010000000000000000000,-60.0
175,instancias/nl01-40.txt,30,346,B&B LC,2.9744019508361816,True,-62.0,"[8, 6]",0b10100000,-62.0
176,instancias/bqp500-5.txt,500,12830,Brute force,60.00040102005005,False,-1527.0,"[498, 495, 494, 492, 487]",0b100110100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1405.0
177,instancias/bqp500-5.txt,500,12830,B&B FIFO,60.01168465614319,False,inf,[],,-669833.0
178,instancias/bqp500-5.txt,500,12830,B&B LIFO,60.00129795074463,False,-2915.0,"[498, 495, 494, 492, 488, 487, 485, 484, 483, 476, 475, 473]",0b100110100011011100000011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-3202.0
179,instancias/bqp500-5.txt,500,12830,B&B LC,60.00937604904175,False,inf,[],,-671801.0
180,instancias/nl01-49.txt,30,326,Brute force,60.000025272369385,False,-31.0,[27],0b100000000000000000000000000,408.0
181,instancias/nl01-49.txt,30,326,B&B FIFO,60.00014328956604,False,inf,[],,1033.0
182,instancias/nl01-49.txt,30,326,B&B LIFO,1.997150182723999,True,-62.0,"[23, 7]",0b10000000000000001000000,-60.0
183,instancias/nl01-49.txt,30,326,B&B LC,1.6800503730773926,True,-62.0,"[23, 7]",0b10000000000000001000000,-31.0
184,instancias/bqp100-9.txt,100,602,Brute force,60.000112771987915,False,-905.0,"[100, 98, 97, 95, 94, 91, 87, 83]",0b1011011001000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000,899.0
185,instancias/bqp100-9.txt,100,602,B&B FIFO,60.00011205673218,False,inf,[],,-23777.0
186,instancias/bqp100-9.txt,100,602,B&B LIFO,60.000113010406494,False,-2341.0,"[100, 98, 97, 94, 91, 90, 87, 83, 82, 70, 69, 65, 64, 63]",0b1011001001100100011000000000001100011100000000000000000000000000000000000000000000000000000000000000,-2380.0
187,instancias/bqp100-9.txt,100,602,B&B LC,60.00014925003052,False,inf,[],,-23968.0
188,instancias/bqp250-4.txt,250,3397,Brute force,60.00013852119446,False,-2198.0,"[250, 249, 247, 243, 240, 236, 235]",0b1101000100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-850.0
189,instancias/bqp250-4.txt,250,3397,B&B FIFO,60.0022873878479,False,inf,[],,-165460.0
190,instancias/bqp250-4.txt,250,3397,B&B LIFO,60.000579595565796,False,-6840.0,"[250, 247, 246, 245, 243, 240, 236, 235, 233, 232, 231, 229, 228, 227, 225, 223, 218, 217, 216, 215, 213, 211, 208, 207]",0b1001110100100011011101110101000011110101001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-6796.0
191,instancias/bqp250-4.txt,250,3397,B&B LC,60.00433897972107,False,inf,[],,-165655.0
192,instancias/nl01-51.txt,30,312,Brute force,60.00005221366882,False,-93.0,"[30, 22, 20]",0b100000001010000000000000000000,1188.0
193,instancias/nl01-51.txt,30,312,B&B FIFO,60.00005531311035,False,inf,[],,191.0
194,instancias/nl01-51.txt,30,312,B&B LIFO,1.710212230682373,True,-93.0,"[30, 22, 20]",0b100000001010000000000000000000,-62.0
195,instancias/nl01-51.txt,30,312,B&B LC,1.7706959247589111,True,-93.0,"[30, 22, 20]",0b100000001010000000000000000000,-93.0
196,instancias/bqp250-10.txt,250,3294,Brute force,60.00014853477478,False,-2197.0,"[250, 248, 247, 245, 238, 236, 235]",0b1011010000001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1029.0
197,instancias/bqp250-10.txt,250,3294,B&B FIFO,60.002880334854126,False,inf,[],,-161226.0
198,instancias/bqp250-10.txt,250,3294,B&B LIFO,60.000712871551514,False,-3993.0,"[250, 248, 247, 245, 238, 237, 236, 235, 232, 231, 220]",0b1011010000001111001100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-4088.0
199,instancias/bqp250-10.txt,250,3294,B&B LC,60.001803398132324,False,inf,[],,-161269.0
200,instancias/bqp250-8.txt,250,3265,Brute force,60.000511169433594,False,-1889.0,"[250, 245, 244, 243, 242, 239, 235]",0b1000011110010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-739.0
